heedless,7.81,adjective,not paying careful attention ,They remain heedless of their own safety.
rumple,11.27,verb,to make (something) messy or wrinkled ,He rumpled her hair affectionately.
swelter,11.27,verb,to be very hot and uncomfortable ,We were sweltering in the summer heat.
flophouse,10.82,noun,a very inexpensive hotel for poor people who do not have anywhere else to live ,a crowded flophouse
fluster,10.81,verb,to make (someone) nervous and confused ,The interruption flustered the speaker.
smolder,10.3,verb,to burn slowly without flames but usually with smoke ,The remains of the campfire smoldered.
wino,10.25,noun,a person who has no place to live and who is often drunk,N/A
sneaker,10.16,noun,"a shoe with a rubber sole that is designed for people to wear while running, playing sports, etc. ",N/A
ratty,9.88,adjective,in very bad condition ,a ratty [=shabby] old sweater
bewilder,9.53,verb,to confuse (someone) very much ,"His decision bewildered [=puzzled, perplexed] her."
slink,9.48,verb,"to move in a way that does not attract attention especially because you are embarrassed, afraid, or doing something wrong ",I thought I saw someone slinking [=sneaking] around outside.
drivel,9.41,verb,to talk in a very foolish or silly way ,What is he driveling about now?
cower,9.37,verb,to move back or bend your body down because you are afraid ,They cowered at the sight of the gun.
redden,9.37,verb,to make something red or to become red ,First-degree burns redden the skin.
shelve,9.33,verb,to put (something) on a shelf ,He shelved the books/products.
riddance,9.27,noun,sed to say that you are glad that someone is leaving or that something has gone ,"‚ÄúDid you hear? Jack is leaving for a new job.‚Äù ‚ÄúWell, good riddance (to him)! We'll be better off without him!‚Äù"
metamorphose,9.08,verb,to change in an important and obvious way into something that is very different :to undergo metamorphosis usually + into ,This once-small company has metamorphosed into an industrial giant.
swig,9.08,verb,to drink (something) quickly and in large amounts :to swallow a lot of (a drink) ,She was swigging [=gulping] water from a bottle after her workout.
stun,9.04,verb,to surprise or upset (someone) very much ,a theft that stunned [=shocked] the art world
werewolf,9.02,noun,a person who sometimes changes into a wolf especially when the moon is full,N/A
rummage,8.97,verb,to search for something especially by moving and looking through the contents of a place ,He rummaged through the attic for his baseball card collection.
peddle,8.97,verb,to sell (something) usually in small amounts and often by traveling to different places ,They peddled fruits and vegetables out of their truck on the side of the road.
minefield,8.76,noun,an area of land or water that contains mines (sense 2),This issue is a political minefield.
incriminate,8.63,verb,to cause (someone) to appear guilty of or responsible for something (such as a crime) ,Material found at the crime scene incriminates the defendant.
gnaw,8.6,verb,to bite or chew (something) repeatedly ,The dog was gnawing a bone.
tipsy,8.53,adjective,unsteady or foolish from drinking :slightly drunk ,I got a little tipsy at the party last night.
squander,8.5,verb,to use (something) in a foolish or wasteful way ,She squandered her inheritance/allowance.
terrify,8.46,verb,to cause (someone) to be extremely afraid :to frighten (someone) very much ,Big dogs terrify me.
prowl,8.45,verb,to move quietly through an area while hunting ,a tiger prowling in the jungle
swagger,8.42,verb,to walk in a very confident way :to walk with a swagger ,He swaggered [=strutted] into the shop like he owned the place.
telltale,8.23,adjective,indicating that something exists or has occurred ,The sauce had the telltale odor of garlic.
balk,8.21,verb,to suddenly show that you do not want to do something :to refuse to do what someone else wants you to do ,"If this witness balks [=refuses to cooperate in court], our lawyers will not have enough evidence to win the case."
smuggle,8.19,verb,to move (someone or something) from one country into another illegally and secretly ,He was arrested for smuggling drugs into the country.
crackle,8.14,verb,"to make a series of short, sharp noises ",The logs crackled in the fire.
binge,8.06,verb,"to eat, drink, etc., too much in a short period of time :to go on a binge often + on ",He binges on beer now and then.
grisly,8.05,adjective,causing horror or fear :very shocking ,a grisly [=gruesome] murder
throb,7.95,noun,a feeling of pain in a series of regular beats,
engulf,7.95,verb,to flow over and cover (someone or something) ,The valley was engulfed in a thick fog.
lurch,7.93,verb,to make a sudden sideways or forward motion ,The boat lurched in the rough seas.
dazzle,7.92,verb,to cause (someone) to be unable to see for a short time ,He was dazzled [=blinded] by the camera flash.
coax,7.91,verb,to influence or persuade (a person or animal) to do something by talking in a gentle and friendly way ,It took almost an hour to coax the cat down from the tree.
waver,7.89,verb,to go back and forth between choices or opinions :to be uncertain about what you think about something or someone ,people who are still wavering between the two candidates
seep,7.87,verb,to flow or pass slowly through small openings in something ,Blood was seeping through the bandage.
surly,7.86,adjective,rude and unfriendly ,surly customers
huddle,7.82,verb,to come close together in a group ,People were huddling (together) in doorways to get out of the rain.
sweaty,7.78,adjective,causing you to sweat ,sweaty work
flounder,7.78,verb,to move in an awkward way with a lot of difficulty and effort :struggle ,The horses were floundering through the deep snow.
stagger,7.77,verb,to move or cause (someone) to move unsteadily from side to side ,The drunk staggered away/off.
scold,7.75,verb,to speak in an angry or critical way to (someone who has done something wrong) ,He scolded [=reprimanded] the children for making a mess.
growl,7.72,verb,to make a deep threatening sound ,I could hear a dog growling behind me.
bruise,7.72,verb,"to cause a bruise on (part of a person's body, a piece of fruit, etc.) ",She bruised her knee when she fell.
thump,7.71,verb,"to hit or beat something or someone and make a loud, deep sound ",Someone was thumping [=pounding] loudly on the door.
grunt,7.69,verb,"to make a short, low sound :to make a grunt ",The workers were grunting with effort as they lifted the heavy furniture.
sniff,7.68,verb,to take air into your nose in short breaths that are loud enough to be heard ,She sniffed and wiped her nose with a tissue.
furtive,7.66,adjective,done in a quiet and secret way to avoid being noticed ,He cast a furtive glance in our direction.
crunch,7.63,verb,to make the loud sound of something being crushed ,The snow crunched underfoot.
jovial,7.61,adjective,full of happiness and joy :cheerful ,The audience was in a jovial mood.
hurl,7.55,verb,to throw (something) with force ,Someone hurled a rock through the window.
disappoint,7.53,verb,to make (someone) unhappy by not being as good as expected or by not doing something that was hoped for or expected ,The team disappointed its fans.
stalwart,7.51,adjective,very loyal and dedicated ,stalwart fans/supporters
dutiful,7.46,adjective,doing what is expected of you ,a dutiful servant/daughter/father
distraught,7.36,adjective,very upset :so upset that you are not able to think clearly or behave normally ,Distraught relatives are waiting for news of the missing children.
quiver,7.34,verb,"to shake because of fear, cold, nervousness, etc. :tremble ",Her lips quivered when she heard the bad news.
twitch,7.34,verb,"to make a slight, sudden movement that is not controlled or deliberate ",His left leg twitched.
posse,7.33,noun,a group of people who were gathered together by a sheriff in the past to help search for a criminal ,The sheriff and his posse rode out to look for the bandits.
blink,7.32,verb,to close and then open your eyes very quickly ,She blinked when the light flashed.
phony,7.26,adjective,"not true, real, or genuine :intended to make someone think something that is not true ",He gave a phony name to the police. = The name he gave the police was phony.
stupor,7.24,noun,"a condition in which someone is not able to think normally because of being drunk, drugged, tired, etc. ",He fell into a drunken stupor.
taint,7.24,verb,to hurt or damage the good condition of (something) often used as (be) tainted ,"The reputation of the university has been tainted [=blemished, marred] by athletic scandals."
sob,7.23,verb,"to cry noisily while taking in short, sudden breaths ",He began to sob uncontrollably.
chore,7.22,noun,a small job that is done regularly ,The children were each assigned different household chores.
heave,7.21,verb,to lift or pull (something) with effort ,We heaved the box (up) onto the table.
nag,7.2,verb,"to annoy (someone) by often complaining about his or her behavior, appearance, etc. ",My wife nags me about my busy work schedule.
banish,7.19,verb,to force (someone) to leave a country as punishment :exile ,He was banished for life.
umpire,7.19,noun,an official who watches a game or match closely to enforce the rules; a referee,
pang,7.15,noun,"a sudden, strong feeling of physical or emotional pain ",hunger pangs
oversee,7.15,verb,"to watch and direct (an activity, a group of workers, etc.) in order to be sure that a job is done correctly :supervise ",He was hired to oversee design and construction of the new facility.
iniquity,7.13,noun,the quality of being unfair or evil ,a system plagued by corruption and iniquity [=injustice]
forsake,7.13,verb,to give up or leave (someone or something) entirely ,All my friends have forsaken [=abandoned] me.
postcard,7.12,noun,a card on which a message may be sent by mail without an envelope and that often has a picture on one side ,N/A
budge,7.11,verb,to move slightly usually used in negative statements ,Their horses refused to budge.
brew,7.08,verb,"to make (beer, ale, etc.) ",They brew the beer on the premises.
devour,7.06,verb,to quickly eat all of (something) especially in a way that shows that you are very hungry ,He devoured everything on his plate.
gasp,7.05,verb,"to breathe in suddenly and loudly with your mouth open because of surprise, shock, or pain ",Mom gasped in/with surprise at the sight of my sister's new haircut.
sneak,7.04,verb,to move quietly and secretly in order to avoid being noticed ,They tried to sneak into the movie without paying.
stoop,7.04,verb,to bend down or over ,She stooped down to hug the child.
scourge,6.99,verb,to cause a lot of trouble or suffering for (someone or something) ,a neighborhood scourged by crime
clump,6.99,verb,to form a mass or clump ,The virus causes the cells to clump (together).
frenzied,6.97,adjective,very excited or upset ,frenzied dancing
snout,6.95,noun,the long nose of some animals (such as pigs) ,The dog raised his snout and sniffed.
grieve,6.94,verb,to cause (someone) to feel sad or unhappy ,It grieves me to see my brother struggling like this.
sling,6.94,verb,to throw (something) with a forceful sweeping motion ,She slung the bag over her shoulder.
tumble,6.91,verb,to fall down suddenly and quickly ,He tripped and tumbled to the ground.
errand,6.9,noun,a short journey that you take to do or get something ,He was sent out on an urgent errand.
wrench,6.89,verb,to twist and pull with a sudden violent motion ,I tried to wrench free from his grip.
camouflage,6.89,verb,to hide (something) by covering it up or making it harder to see ,The swimming pool was camouflaged [=hidden] by a hedge.
blunder,6.87,verb,to move in an awkward or confused way ,We blundered along through the woods until we finally found the trail.
unsteady,6.85,adjective,not steady: such as,The stool/ladder is unsteady.
bump,6.84,verb,"to hit (something, such as part of your body) against an object in a sudden and forceful way ",I have a bruise from where I bumped my head.
lash,6.81,verb,"to hit (a person or animal) with a whip, stick, or something similar ",The sailor was lashed for disobeying the captain.
washer,6.8,noun,"a thin, flat ring that is made of metal, plastic, or rubber and that is used to make something (such as a bolt) fit tightly or to prevent rubbing ",the clothes washer
stab,6.78,verb,to wound (someone or something) with a pointed weapon (such as a knife) ,He stabbed her with a dagger.
lunatic,6.77,adjective,designed for insane people ,a lunatic asylum
wavy,6.76,adjective,having the curving shape of a wave or of many waves ,She has wavy blond hair.
distract,6.75,verb,to cause (someone) to stop thinking about or paying attention to someone or something and to think about or pay attention to someone or something else instead ,You sneak into his room while I distract him.
toad,6.73,noun,a small animal that looks like a frog but has dry skin and lives on land ,He's such a mean little toad.
driveway,6.72,noun,a short private road from a street to a house or other building where cars can usually be parked ,A long driveway led to the mansion.
boxer,6.72,noun,someone who participates in the sport of boxing,N/A
flicker,6.69,verb,to burn or glow in an unsteady way :to produce an unsteady light ,A TV was flickering in the background.
addict,6.67,noun,a person who is not able to stop taking drugs :a person who is addicted to drugs ,The clinic provides counseling for (drug) addicts.
linger,6.65,verb,to stay somewhere beyond the usual or expected time ,The tourists didn't linger very long.
jerk,6.64,verb,"to push, pull, or twist (something) with a quick movement ",I jerked the door open.
dizzy,6.64,adjective,feeling that you are turning around in circles and are going to fall even though you are standing still ,The children were dizzy after spinning in circles.
yell,6.64,verb,"to say (something) very loudly especially because you are angry, surprised, or are trying to get someone's attention ",We saw people yelling for help.
haunt,6.63,verb,to visit or live in (a place) ,Spirits haunted the house.
smash,6.62,verb,to break (something) into many pieces :to shatter or destroy (something) ,He smashed the vase with a hammer.
nap,6.62,verb,to sleep for a short period of time especially during the day ,He's napping [=dozing] on the couch.
gleam,6.6,verb,to shine brightly ,The sun gleamed on the water.
slump,6.56,verb,to sit or fall down suddenly and heavily ,She fainted and slumped to the floor.
tremor,6.54,noun,a shaking movement of the ground before or after an earthquake ,Small tremors were still being felt several days after the earthquake.
corrosive,6.54,adjective,causing corrosion: such as,highly corrosive chemicals/gases/liquids
delirium,6.52,noun,a mental state in which you are confused and not able to think or speak clearly usually because of fever or some other illness ,"In her delirium, nothing she said made any sense."
undo,6.51,verb,to open or release (something) :to unfasten or loosen (something) ,undo a belt/button/zipper
dart,6.51,noun,a small pointed missile that can be thrown,a poisoned dart
curl,6.51,verb,to twist or form (something) into a round or curved shape ,The boy curled [=wound] the spaghetti around his fork.
tremble,6.51,verb,"to shake slightly because you are afraid, nervous, excited, etc. ",His arms and legs began to tremble.
starve,6.5,verb,to suffer or die from lack of food :to suffer extreme hunger ,Without food they would starve.
burgundy,6.49,geographical name,region of France,N/A
batter,6.48,verb,to hit (something or someone) forcefully many times in a way that causes much damage or injury ,Storms battered the shore.
reassure,6.47,verb,"to make (someone) feel less afraid, upset, or doubtful ",Experts reassured the public that the accident wouldn't happen again.
erase,6.47,verb,to remove (something that has been recorded) from a tape (such as a videotape or audiotape) or a computer disk ,The recording can be erased and the tape used again.
perilous,6.47,adjective,full of danger :dangerous ,a perilous journey across the mountains
bunker,6.45,noun,"an underground shelter, typically for use in wartime",
redeem,6.38,verb,"to make (something that is bad, unpleasant, etc.) better or more acceptable ",The exciting ending partially redeems what is otherwise a very dull movie.
ache,6.37,verb,to produce a dull continuous pain :to hurt in a way that is constant but not severe ,Her muscles were aching from shoveling snow.
buddy,6.36,verb,to become friendly especially in order to get help or some advantage often + with ,New students are encouraged to buddy up with older students.
rusty,6.36,adjective,covered with rust ,a rusty old car
blaze,6.35,verb,to burn very brightly and intensely ,A fire blazed in the stove.
tug,6.32,verb,"to pull something with a quick, forceful movement ",I felt someone tugging on/at my sleeve.
grind,6.32,verb,to crush or break (something) into very small pieces by rubbing it against a rough surface or using a special machine ,Grind (up) the coffee beans into a fine powder.
relentless,6.28,adjective,"continuing without becoming weaker, less severe, etc. ",Her relentless optimism held the team together.
inhabit,6.27,verb,to live in (a place) :to have a home in (a place) ,Several hundred species of birds inhabit the island.
desolate,6.26,adjective,"lacking the people, plants, animals, etc., that make people feel welcome in a place ","a landscape as desolate [=barren, lifeless] as the moon"
summon,6.24,verb,to order (someone) to come to a place ,The queen summoned him back to the palace.
arsenal,6.23,noun,a collection of weapons ,the nation's nuclear arsenal [=the nuclear weapons that the nation has]
rag,6.17,noun,old or torn clothes,The child is dressed in†rags.
metamorphosis,6.17,noun,a major change in the appearance or character of someone or something ,We have watched her metamorphosis from a shy schoolgirl into a self-confident businesswoman.
hop,6.16,verb,to move by a quick jump or series of jumps ,He hopped over the hot sand.
uplift,6.16,verb,to make (someone) happy or hopeful ,music that uplifts the soul
vintage,6.12,adjective,sed to describe a wine usually of high quality that was produced in a particular year which is identified on the bottle ,The restaurant has a fine selection of vintage wines.
flare,6.12,verb,to shine or burn suddenly and briefly ,A match flared (up) in the darkness.
trash,6.12,verb,to throw away (something) ,a computer program that trashes useless files
forearm,6.08,verb,to arm in advance :prepare,N/A
vow,6.07,verb,to make a serious promise to do something or to behave in a certain way often followed by to + verb ,The mayor vowed to reduce crime.
uphold,6.05,verb,"to support or defend (something, such as a law) ",He took an oath to uphold the Constitution.
swine,6.04,noun,pig ,methods of raising swine
weep,6.04,verb,to cry because you are very sad or are feeling some other strong emotion ,He wept at the news of her death.
nasty,6.03,adjective,"very unpleasant to see, smell, taste, etc. ",She has a nasty habit of biting her fingernails.
pinch,6.02,verb,to squeeze (someone's skin) between your thumb and finger often in a painful way ,My little brother is always trying to pinch me.
shrink,6.02,verb,"to become smaller in amount, size, or value ",The sweater shrank when it was washed.
dump,6.01,verb,to put (something) somewhere in a quick and careless way ,You can dump the coats on the bed.
tilt,5.96,verb,to lift or move (something) so that one side is higher than another side ,Tilt the glass as you pour in the beer.
mechanic,5.94,noun,a person who repairs machines (such as car engines) and keeps them running properly ,an automotive mechanic
crescent,5.93,noun,the shape of the visible part of the moon when it is less than half full ,the crescent moon
statistic,5.91,noun,"a number that represents a piece of information (such as information about how often something is done, how common something is, etc.) ",One statistic that stuck out is that 40 percent of those surveyed did not have college degrees.
leak,5.89,verb,to let something (such as a liquid or gas) in or out through a hole in a surface ,The roof was leaking. [=rainwater was getting into the building through the roof]
whiskey,5.87,noun,"a strong alcoholic drink made from a grain (such as rye, corn, or barley) ",He ordered a whiskey and soda. [=whiskey mixed with soda water]
scream,5.86,verb,"to suddenly cry out in a loud and high voice because of pain, surprise, etc. ",She screamed when the door suddenly slammed shut.
basketball,5.74,noun,a game in which two teams of five players bounce a ball and try to score points by throwing the ball through one of the raised nets at each end of a rectangular court ,She plays basketball.
roar,5.7,verb,to make the loud sound of a wild animal (such as a lion) ,We heard a lion roar in the distance.
sway,5.69,verb,to move slowly back and forth ,branches swaying in the breeze
accusation,5.69,noun,a claim that someone has done something wrong or illegal :a charge that someone has committed a fault or crime ,Investigators have made/brought/leveled accusations of corruption against a group of former officials.
fetch,5.67,verb,to go after and bring back (someone or something) ,Wait here while I fetch [=get] the doctor.
cruise,5.65,verb,to travel on a boat or ship to a number of places as a vacation ,We cruised for a week down the Yangtze River.
addiction,5.59,noun,a strong and harmful need to regularly have something (such as a drug) or do something (such as gamble) ,He has a drug addiction.
perennial,5.57,adjective,living for several years or for many years :having a life cycle that is more than two years long ,a perennial plant
disgust,5.56,verb,"to cause (someone) to have a strong feeling of dislike for something especially because it has a very unpleasant appearance, taste, smell, etc. ",The greasy food they were serving disgusted [=repulsed] him.
ditch,5.55,verb,to stop having or using (something you no longer want or need) :to get rid of (something) ,The thief ditched the purse in an alley.
careless,5.53,adjective,not using care :not careful ,He is a careless worker.
disguise,5.53,verb,"to change the usual appearance, sound, taste, etc., of (someone or something) so that people will not recognize that person or thing ",He tried to disguise his voice on the phone but I could tell it was him.
spy,5.52,verb,"to try secretly to get information about a country, organization, etc. :to act as a spy ",They were accused of spying for a foreign government.
announce,5.52,verb,to make (something) known in a public or formal way :to officially tell people about (something) ,The government announced a cut in taxes.
whip,5.49,verb,to hit (a person or animal) with a whip or with something that is like a whip ,The sailor was whipped [=flogged] for disobeying orders.
garage,5.49,noun,a building for housing a motor vehicle or vehicles,she took her car to the garage
lump,5.47,noun,"a compact mass of a substance, especially one without a definite or regular shape",there was a†lump of†ice floating in the milk
mutation,5.45,noun,a change in the genes of a plant or animal that causes physical characteristics that are different from what is normal ,The cat's short tail is the result of mutation.
futile,5.43,adjective,having no result or effect :pointless or useless ,All our efforts proved futile.
swallow,5.42,verb,to take (something) into your stomach through your mouth and throat ,He swallowed the grape whole.
consume,5.42,verb,to eat or drink (something) ,The dogs consume [=eat] a bag of dog food each week.
clash,5.41,verb,to be in a situation in which you are fighting or disagreeing :to come into conflict with someone ,Police and protesters clashed yesterday.
dread,5.41,verb,to fear something that will or might happen ,He can't swim and dreads going in the water.
malaria,5.37,noun,a serious disease that causes chills and fever and that is passed from one person to another by the bite of mosquitoes,N/A
interrupt,5.36,verb,to ask questions or say things while another person is speaking :to do or say something that causes someone to stop speaking ,Please don't interrupt me (while I'm talking).
sober,5.34,adjective,not drunk ,"I'm driving, so I have to stay sober tonight."
brutal,5.33,adjective,extremely cruel or harsh ,a brutal military dictatorship
bliss,5.32,noun,complete happiness ,Their religion promises eternal bliss [=joy] in heaven.
uneasy,5.31,adjective,worried or unhappy about something ,Rain made the crew uneasy.
lid,5.28,noun,"a cover on a box, can, jar, etc., that can be lifted or removed ",N/A
conceal,5.26,verb,to hide (something or someone) from sight ,The sunglasses conceal her eyes.
duck,5.25,verb,to lower your head or body suddenly to avoid being seen or hit ,The ceiling was so low I had to duck.
threaten,5.23,verb,to say that you will harm someone or do something unpleasant or unwanted especially in order to make someone do what you want ,The mugger threatened him with a gun.
atlas,5.21,noun,a book of maps ,a world atlas
penny,5.21,noun,a coin or a unit of money equal to ,We got the car for just pennies. [=it didn't cost very much]
barn,5.17,noun,a building on a farm that is used for storing grain and hay and for housing farm animals or equipment,They live in a big barn of a house.
miniature,5.15,adjective,very small :tiny ,a collection of miniature books
cliff,5.15,noun,"a high, steep surface of rock, earth, or ice ","Standing at the edge of the cliff, we watched the waves crash on the shore far below."
compassion,5.14,noun,"a feeling of wanting to help someone who is sick, hungry, in trouble, etc. ",He felt compassion for the lost child.
pretend,5.13,verb,to act as if something is true when it is not true ,She pretended (that) she didn't care what other people said about her.
supposedly,5.12,adverb,according to what someone has said or what is generally believed to be true or real ,These detergents are supposedly better for the environment.
confess,5.08,verb,to admit that you did something wrong or illegal ,He confessed after being questioned for many hours.
odds,5.01,noun,the possibility that something will happen :the chance that one thing will happen instead of a different thing ,She wanted to improve her odds [=chances] of winning.
